family,algorithm,n,p,relative risk,relative test error gaussian,proportion of variance explained gaussian,relative test error,proportion of variance explained,beta error,relative beta error,relative prediction error,corr,time
gaussian,glmnet_cv5,20,20,0.22360679774997896,4.695742752749558,0.0,4.695742752749558,0.0,0.9990030498832813,0.7496071661939726,1.0,1.0,0.5911577077172289,0.11857485771179199
gaussian,glmnet_cv10,20,20,0.22360679774997896,4.695742752749558,0.0,4.695742752749558,0.0,0.9990030498832813,0.7496071661939726,1.0,1.0,0.5911577077172289,0.20865654945373535
gaussian,sklearn_cv5,20,20,0.19789335038618294,4.181473805473638,0.024488997489329544,4.181473805473638,0.024488997489329544,0.9550687332567819,0.6393907605926218,0.9560218393410986,0.8529677802295308,0.5825488831316901,0.019713640213012695
gaussian,sklearn_cv10,20,20,0.19789335038618294,4.181473805473638,0.024488997489329544,4.181473805473638,0.024488997489329544,0.9550687332567819,0.6393907605926218,0.9560218393410986,0.8529677802295308,0.5825488831316901,0.03675198554992676
gaussian,gpu_woodbury,20,20,24.843058504246134,2.7079126481745925,2.2381319733178326,2.7079126481745925,2.2381319733178326,9.536260557983887,7.088948173710232,11.84587623772338,9.52173230718084,-0.05900374117232838,2.8987185955047607
gaussian,gpu_svd,20,20,24.843058504245885,2.7079126481745672,2.23813197331781,2.7079126481745672,2.23813197331781,9.536260557983857,7.088948173710136,11.84587623772334,9.521732307180711,-0.05900374117233912,2.8642332553863525
gaussian,gpu_rsvd,20,20,24.843058504245874,2.707912648174567,2.238131973317809,2.707912648174567,2.238131973317809,9.536260557983853,7.08894817371014,11.845876237723337,9.521732307180717,-0.05900374117233903,2.8996217250823975
gaussian,cpu_woodbury,20,20,24.84305850424611,2.70791264817459,2.2381319733178304,2.70791264817459,2.2381319733178304,9.536260557983887,7.0889481737102,11.845876237723377,9.521732307180796,-0.05900374117235619,2.7537975311279297
gaussian,cpu_svd,20,20,24.843058504245864,2.7079126481745655,2.238131973317808,2.7079126481745655,2.238131973317808,9.536260557983853,7.08894817371014,11.845876237723335,9.521732307180717,-0.05900374117233942,2.743570327758789
gaussian,cpu_rsvd,20,20,24.843058504245864,2.7079126481745655,2.238131973317808,2.7079126481745655,2.238131973317808,9.536260557983852,7.088948173710136,11.845876237723333,9.521732307180711,-0.05900374117233904,2.7465035915374756
gaussian,glmnet_cv5,20,20,0.22360679774997896,0.24596747752497689,0.0,0.24596747752497689,0.0,0.8050278735494059,0.7445019398795829,1.0,1.0,-0.26791071419123064,0.11460518836975098
gaussian,glmnet_cv10,20,20,0.22360679774997896,0.24596747752497689,0.0,0.24596747752497689,0.0,0.8050278735494059,0.7445019398795829,1.0,1.0,-0.26791071419123064,0.20928072929382324
gaussian,sklearn_cv5,20,20,0.5761938379026503,0.281226181540244,0.0320533672866065,0.281226181540244,0.0320533672866065,1.077367812389132,1.5221504441159375,1.3382987692574748,2.0445217971656766,-0.22043731632092298,0.01883840560913086
gaussian,sklearn_cv10,20,20,18.89618394936744,2.113225192686723,1.6975070137834056,2.113225192686723,1.6975070137834056,8.096093974878878,6.654214262915299,10.056911370264507,8.937806480385483,-0.07021617801468397,0.03616786003112793
gaussian,gpu_woodbury,20,20,14.67666720543039,7.561940400465174,4.817686802560138,7.561940400465174,4.817686802560138,9.104907344061912,6.233137219474146,8.29419263753133,6.03648473938892,-0.29943550084537496,2.907268524169922
gaussian,gpu_svd,20,20,14.676667205430396,7.5619404004651765,4.817686802560139,7.5619404004651765,4.817686802560139,9.104907344061923,6.233137219474017,8.294192637531339,6.036484739388794,-0.2994355008454017,2.909085512161255
gaussian,gpu_rsvd,20,20,14.676667205430405,7.561940400465182,4.817686802560142,7.561940400465182,4.817686802560142,9.104907344061926,6.233137219474021,8.294192637531342,6.0364847393888,-0.29943550084540155,2.925168037414551
gaussian,cpu_woodbury,20,20,14.676667205430322,7.56194040046514,4.8176868025601145,7.56194040046514,4.8176868025601145,9.104907344061937,6.233137219474034,8.294192637531351,6.036484739388811,-0.2994355008453961,2.7665090560913086
gaussian,cpu_svd,20,20,14.676667205430425,7.561940400465191,4.817686802560148,7.561940400465191,4.817686802560148,9.104907344061933,6.233137219474024,8.294192637531348,6.0364847393888015,-0.29943550084540227,2.78387188911438
gaussian,cpu_rsvd,20,20,14.67666720543044,7.561940400465199,4.8176868025601545,7.561940400465199,4.8176868025601545,9.104907344061937,6.233137219474022,8.29419263753135,6.0364847393888,-0.29943550084540177,2.745482921600342
gaussian,glmnet_cv5,20,20,0.22360679774997896,0.33541019662496846,0.0,0.33541019662496846,0.0,1.0977448610081817,1.0325773175242274,1.0,1.0,-0.04962545679799281,0.11658096313476562
gaussian,glmnet_cv10,20,20,0.30088742204417446,0.3740505087720662,0.02576020809806517,0.3740505087720662,0.02576020809806517,1.3204384091391355,1.3923201609990326,1.2028645781374272,1.3483931298600935,-0.08718326355039016,0.20778846740722656
gaussian,sklearn_cv5,20,20,1.8164517636238346,1.1318326795618963,0.5309483219579518,1.1318326795618963,0.5309483219579518,3.3225331776035594,3.846656746555068,3.0266898034504175,3.7252965770912487,-0.23394613654563132,0.01929616928100586
gaussian,sklearn_cv10,20,20,0.33848515417494257,0.3928493748374503,0.03829278547498789,0.3928493748374503,0.03829278547498789,1.401008869052732,1.5312079418064213,1.276260922566314,1.482899068011432,-0.10525363923338572,0.03649473190307617
gaussian,gpu_woodbury,20,20,5.537130882408087,5.7607376801580665,2.656762042329054,5.7607376801580665,2.656762042329054,6.545005351238986,3.729157086073065,5.452301052550592,2.1180296922383253,0.2907197287855195,2.918383836746216
gaussian,gpu_svd,20,20,5.537130882408022,5.760737680158001,2.6567620423290212,5.760737680158001,2.6567620423290212,6.545005351238929,3.7291570860729326,5.452301052550545,2.11802969223825,0.2907197287854822,2.927668333053589
gaussian,gpu_rsvd,20,20,5.537130882408024,5.7607376801580035,2.656762042329023,5.7607376801580035,2.656762042329023,6.54500535123893,3.729157086072933,5.452301052550545,2.1180296922382507,0.2907197287854815,2.9265174865722656
gaussian,cpu_woodbury,20,20,5.53713088240805,5.760737680158029,2.6567620423290355,5.760737680158029,2.6567620423290355,6.545005351238956,3.7291570860730285,5.452301052550568,2.118029692238305,0.2907197287854902,2.790849447250366
gaussian,cpu_svd,20,20,5.537130882408026,5.760737680158005,2.6567620423290235,5.760737680158005,2.6567620423290235,6.545005351238932,3.7291570860729317,5.452301052550548,2.1180296922382498,0.2907197287854814,2.776998519897461
gaussian,cpu_rsvd,20,20,5.537130882408018,5.760737680157997,2.6567620423290195,5.760737680157997,2.6567620423290195,6.545005351238928,3.7291570860729326,5.452301052550545,2.11802969223825,0.2907197287854815,2.796923875808716
gaussian,glmnet_cv5,20,20,0.21254947210827654,0.4361562698582555,0.005528662820851187,0.4361562698582555,0.005528662820851187,1.184739516790722,1.6986358922528357,0.9869444206296215,0.9647652735063026,0.6619613359874215,0.11610984802246094
gaussian,glmnet_cv10,20,20,0.22360679774997896,0.4472135954999579,0.0,0.4472135954999579,0.0,1.2004115855226345,1.7606727137673441,1.0,1.0,0.6672175780605939,0.20836400985717773
gaussian,sklearn_cv5,20,20,0.18185871875820503,0.405465516508184,0.02087403949588696,0.405465516508184,0.02087403949588696,1.167236112365719,1.4493408563101624,0.97236325144057,0.8231744860798011,0.631275824348554,0.0187375545501709
gaussian,sklearn_cv10,20,20,0.5604870275315857,0.7840938252815647,0.16844011489080338,0.7840938252815647,0.16844011489080338,2.09590817467242,2.0617117142560506,1.745991291611789,1.1709795342057454,0.4834239886693611,0.03640556335449219
gaussian,gpu_woodbury,20,20,0.6331128192915492,3.3891708942077248,0.3412550179513085,3.3891708942077248,0.3412550179513085,2.0867436513884163,1.3124582993360676,1.9346625943581655,1.1382735577150942,0.8618485190497561,2.8947839736938477
gaussian,gpu_svd,20,20,0.6331128192915357,3.3891708942076577,0.3412550179512973,3.3891708942076577,0.3412550179512973,2.086743651388404,1.3124582993360252,1.9346625943581537,1.1382735577150573,0.8618485190497582,2.923781156539917
gaussian,gpu_rsvd,20,20,0.6331128192915365,3.3891708942076617,0.34125501795129803,3.3891708942076617,0.34125501795129803,2.0867436513884035,1.3124582993360254,1.9346625943581532,1.1382735577150576,0.861848519049758,2.8784310817718506
